"","ResidntCntry","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean","HDI","category"
"24","Australia",32.5,"Male","Yes Kids","phd","full-time",67500,"IT Support",3,0,"Large-City","Married","1",1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,"yes","no",4.2,3.06666666666667,3.45,3.4,0.939,"High human development index"
"25","Australia",45,"Male","Yes Kids","deg","full-time",150000,"engineer",10,0,"Large-City","Divorced","1",1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",4,3.6,3.6,2.8,0.939,"High human development index"
"26","Australia",37.5,"Female","No Kids","deg","student",15000,"please specify",2,0,"Medium-Sized","Single","0",0,3,4,3,3,3,1,1,3,2,3,1,3,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,2,3,3,3,4,3,4,5,3,"yes","yes",3.2,2.53333333333333,3,3.8,0.939,"High human development index"
"27","Australia",45,"Male","No Kids","ltuni","full-time",67500,"Internet & media consultant",8,0,"Large-City","Married","0",0,3,3,2,3,3,1,1,4,2,2,1,2,3,2,4,1,1,2,1,3,3,2,3,2,1,3,3,3,3,2,2,3,2,3,3,5,5,3,3,2,2,3,3,1,4,"no","no",2.8,2,2.8,2.6,0.939,"High human development index"
"28","Australia",25,"Male","No Kids","deg","student",10000,"0",0,0,"Large-City","Single","0",0,2,1,1,1,1,1,1,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,3,2,1,4,4,1,4,5,4,5,1,1,4,4,1,2,5,5,3,4,2,4,2,"yes","yes",1.2,2.73333333333333,2.9,3,0.939,"High human development index"
"29","Australia",32.5,"Female","Yes Kids","dip","part-time",55000,"Business Owner",5,0,"Large-City","Separated","0",1,3,2,4,2,2,3,1,3,1,3,4,3,4,3,3,2,1,3,1,4,3,1,2,1,4,3,5,3,4,1,1,4,3,2,3,5,5,3,3,3,2,2,2,2,2,"yes","yes",2.6,2.6,2.95,2,0.939,"High human development index"
"30","Australia",32.5,"Male","No Kids","ma","full-time",55000,"Information Technology Consultant",3,0,"Small City","Married","0",0,4,4,5,5,5,1,1,5,2,5,3,5,5,5,5,3,1,2,1,2,4,3,2,2,4,3,5,5,5,4,2,5,1,3,4,5,4,5,5,4,2,5,3,3,4,"yes","yes",4.6,3.06666666666667,3.75,3.4,0.939,"High human development index"
"31","Australia",24,"Male","No Kids","ltuni","student",10000,"0",0,0,"Large Town","Single","0",0,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.46666666666667,5,1,0.939,"High human development index"
"32","Australia",21,"Female","No Kids","deg","student",10000,"please specify",4,6,"Large-City","Single","0",0,5,5,4,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.8,4.75,1,0.939,"High human development index"
"33","Australia",22,"Female","No Kids","high","full-time",25000,"Housekeeping",0,6,"Large-City","Single","0",0,3,1,5,2,3,1,1,5,1,2,1,5,2,1,1,5,1,5,1,5,5,3,2,2,4,1,5,4,5,2,4,4,1,2,4,5,5,4,5,5,4,4,4,3,3,"yes","no",2.8,2.46666666666667,3.6,3.6,0.939,"High human development index"
"34","Australia",20,"Male","No Kids","ltuni","student",10000,"Web Communications",3,3,"Medium-Sized","Single","0",0,4,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,5,5,2,4,4,4,3,2,4,3,2,4,3,4,4,4,3,1,2,1,1,1,"yes","yes",4,3.6,3.55,1.2,0.939,"High human development index"
"35","Australia",37.5,"Male","No Kids","deg","full-time",67500,"Medical Practitioner",17,0,"Large-City","Single","0",0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,"yes","yes",4.2,3.73333333333333,4,1.4,0.939,"High human development index"
"36","Australia",24,"Male","No Kids","ma","student",10000,"please specify",0,3,"Large-City","Single","0",0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.33333333333333,2.8,3.6,0.939,"High human development index"
"37","Australia",32.5,"Female","Yes Kids","ma","full-time",67500," veterinarian",7,0,"Small City","Married","1",0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.8,4.2,0.939,"High human development index"
"38","Australia",28,"Female","No Kids","ma","full-time",150000,"Management Consultant & Entrepreneur",1,0,"Large-City","Married","0",0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",1.6,2.26666666666667,2.45,4.6,0.939,"High human development index"
"39","Australia",45,"Male","Yes Kids","deg","full-time",55000,"Technical officer",1,9,"Large-City","Married","0",0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,1.8,2.15,3.6,0.939,"High human development index"
"40","Australia",32.5,"Male","No Kids","ltuni","full-time",45000,"Service co-ordinator",0,7,"Large-City","Single","0",0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4.06666666666667,4.1,1.6,0.939,"High human development index"
"41","Australia",45,"Male","Yes Kids","ma","full-time",87500,"",1,0,"Village","Separated","0",1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,2.66666666666667,4.15,2.2,0.939,"High human development index"
"42","Australia",55,"Male","No Kids","lthigh","unemployed",15000,"",6,6,"Rural/Country","Divorced","0",0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","",2.8,1.93333333333333,2.7,1.2,0.939,"High human development index"
"43","Australia",45,"Female","No Kids","deg","full-time",35000,"",0,9,"Medium-Sized","Single","0",0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.06666666666667,3.35,1.8,0.939,"High human development index"
"44","Australia",45,"Female","No Kids","ma","full-time",67500,"",2,0,"Village","Married","0",0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,3.05,2.4,0.939,"High human development index"
"45","Australia",45,"Female","Yes Kids","deg","full-time",55000,"",6,0,"Medium-Sized","Divorced","1",2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.86666666666667,2.7,2,0.939,"High human development index"
"46","Australia",16.5,"Female","No Kids","deg","unemployed",NA,"",0,4,"Rural/Country","Single","0",0,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,2,2,5,4,2,4,4,4,4,4,2,3,4,4,1,4,3,4,4,"yes","yes",4,3.8,3.3,3.2,0.939,"High human development index"
"47","Australia",16.5,"Male","No Kids","lthigh","student",10000,"",10,5,"Village","Single","0",0,4,5,2,3,3,1,1,3,4,2,4,2,4,2,4,1,2,3,2,2,4,1,4,5,1,1,2,2,4,2,2,4,4,4,4,3,2,5,4,3,3,3,4,5,2,"yes","no",3.4,2.46666666666667,3.05,3.4,0.939,"High human development index"
"48","Australia",32.5,"Male","No Kids","ma","full-time",35000,"",1,0,"Village","Single","0",0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,4,1,0.939,"High human development index"
"49","Australia",19,"Female","No Kids","high","student",10000,"",0,5,"Large Town","Single","0",0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.86666666666667,2.05,3.8,0.939,"High human development index"
"50","Australia",28,"Female","No Kids","deg","full-time",67500,"",3,0,"Village","Married","0",0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.06666666666667,4.1,3,0.939,"High human development index"
"51","Australia",55,"Male","Yes Kids","ma","full-time",35000,"",3,5,"","Married","0",2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,2.66666666666667,3.6,4.4,0.939,"High human development index"
"52","Australia",55,"Female","Yes Kids","ma","student",15000,"",2,2,"Medium-Sized","Married","0",2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,1.86666666666667,2.1,4,0.939,"High human development index"
"53","Australia",32.5,"Female","Yes Kids","phd","student",45000,"",4,6,"Village","Married","0",1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3.26666666666667,3.25,2.4,0.939,"High human development index"
"54","Australia",20,"Female","No Kids","ltuni","student",10000,"",2,0,"Village","Single","0",0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2.26666666666667,3.35,4.8,0.939,"High human development index"
"55","Australia",37.5,"Male","No Kids","high","full-time",150000,"",6,3,"Village","Single","0",0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,1.73333333333333,1.85,2.4,0.939,"High human development index"
"56","Australia",28,"Male","No Kids","deg","student",15000,"",0,3,"Small Town","Married","0",0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3.4,3,3.4,0.939,"High human development index"
"57","Australia",19,"Male","No Kids","ltuni","student",15000,"",2,4,"Village","Single","0",0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3.2,3.7,3.4,0.939,"High human development index"
"58","Australia",45,"Female","Yes Kids","deg","full-time",87500,"",4,0,"Village","Married","3",1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",1,1.73333333333333,1.95,1,0.939,"High human development index"
"59","Australia",22,"Male","No Kids","ltuni","student",10000,"",2,0,"Village","Single","0",0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4.13333333333333,3.9,2.8,0.939,"High human development index"
"60","Australia",28,"Male","No Kids","ltuni","part-time",15000,"",0,6,"Village","Single","0",0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,4.53333333333333,4.35,1.4,0.939,"High human development index"
"61","Australia",28,"Male","No Kids","deg","full-time",35000,"",2,0,"Village","Single","0",0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,3.66666666666667,4.25,2.4,0.939,"High human development index"
"62","Australia",28,"Male","No Kids","deg","full-time",45000,"",2,0,"Village","Separated","0",0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3.46666666666667,4.45,1,0.939,"High human development index"
"63","Australia",28,"Male","No Kids","deg","student",10000,"",1,0,"Village","Single","0",0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3.33333333333333,3.4,2.2,0.939,"High human development index"
"64","Australia",55,"Male","Yes Kids","phd","full-time",55000,"",1,0,"Village","Married","1",2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,"no","no",2.2,2.4,2.3,3,0.939,"High human development index"
"65","Australia",37.5,"Male","Yes Kids","dip","full-time",45000,"",8,0,"Rural/Country","Married","0",0,4,2,2,1,2,2,1,5,4,2,4,2,4,3,4,2,2,3,2,5,5,2,3,1,2,3,4,2,4,3,2,5,3,3,4,4,2,3,2,3,3,2,2,3,2,"no","no",2.2,3,3,2.4,0.939,"High human development index"
"66","Australia",23,"Female","No Kids","deg","student",15000,"",5,6,"Village","Single","0",0,4,5,4,2,2,5,3,5,4,5,5,5,4,5,5,2,5,5,3,5,4,4,3,5,5,2,4,3,5,5,4,5,5,5,5,5,4,5,5,4,4,4,3,2,2,"yes","yes",3.4,4.4,4.35,3,0.939,"High human development index"
"67","Australia",25,"Male","No Kids","ma","unemployed",10000,"",0,0,"Small Town","Married","0",0,3,4,3,3,3,4,2,2,3,4,5,3,4,5,4,4,3,5,2,3,5,3,3,4,4,4,4,3,5,5,3,4,3,3,4,4,5,5,4,5,2,3,3,2,1,"yes","yes",3.2,3.53333333333333,4,2.2,0.939,"High human development index"
"68","Australia",23,"Female","No Kids","ltuni","full-time",35000,"",0,6,"Village","Single","0",0,4,4,3,4,4,2,2,3,3,5,5,5,4,4,4,3,3,3,3,4,5,3,3,5,4,3,5,4,5,2,4,5,2,3,4,4,4,5,5,5,2,2,2,1,3,"yes","yes",3.8,3.53333333333333,4,2,0.939,"High human development index"
"69","Australia",7.5,"Female","No Kids","ltuni","student",NA,"",0,0,"Village","Single","0",0,3,3,2,2,2,3,2,4,3,3,3,4,3,3,4,2,3,3,4,3,4,2,2,4,1,1,4,2,4,5,3,4,3,2,3,3,3,3,4,4,4,5,4,4,4,"yes","yes",2.4,3.13333333333333,3.05,4.2,0.939,"High human development index"
"70","Australia",32.5,"Male","No Kids","lthigh","full-time",67500,"",9,0,"Village","Married","0",0,4,5,2,5,5,1,1,1,2,5,4,5,5,5,5,1,2,5,1,5,5,1,1,5,1,1,5,5,5,3,4,5,5,1,5,3,5,5,5,5,1,2,2,1,1,"yes","yes",4.2,3.2,3.75,1.4,0.939,"High human development index"
"71","Australia",25,"Male","No Kids","deg","student",25000,"",0,6,"Village","Single","0",0,4,3,2,4,4,3,3,3,5,5,4,4,3,4,5,3,4,4,4,3,2,2,2,3,2,2,4,3,4,4,4,4,3,3,3,4,3,4,4,4,2,2,1,1,2,"yes","yes",3.4,3.8,3.2,1.6,0.939,"High human development index"
"72","Australia",32.5,"Male","No Kids","deg","full-time",87500,"",2,0,"Village","Single","0",0,4,4,4,3,3,3,2,5,3,5,4,5,4,5,5,5,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,5,3,3,3,4,3,"yes","yes",3.6,4,4,3.2,0.939,"High human development index"
"73","Australia",32.5,"Female","No Kids","ma","full-time",67500,"",3,0,"Rural/Country","Single","0",0,3,4,3,3,3,5,2,3,3,5,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,4,2,5,4,4,4,5,3,3,5,4,3,3,4,4,4,"yes","no",3.2,3.93333333333333,3.95,3.6,0.939,"High human development index"
"74","Australia",28,"Male","Yes Kids","ma","full-time",55000,"",7,0,"Village","Married","0",1,2,3,2,1,1,1,1,3,2,2,2,1,1,1,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,1,3,1,3,1,3,3,2,4,5,5,4,3,"no","no",1.8,1.93333333333333,2.2,4.2,0.939,"High human development index"
"75","Australia",45,"Male","No Kids","ma","full-time",150000,"",4,1,"Village","Widowed","0",0,4,4,4,3,3,3,4,5,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,5,2,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,2,"yes","yes",3.6,3.73333333333333,3.7,3.2,0.939,"High human development index"
